Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa de Lugo  45-47 ,15810 ,Arzúa ,A Coruña ,Galicia ,881 99 60 03  881 99 60 04 ,881 99 60 07 ,mixto1.arzua@xustiza.gal ,RODRIGUEZ CARLIN  MARIA EUGENIA
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ José Sanso Enrique  15 ,35450 ,Santa María de Guía de Gran Canaria ,Las Palmas ,Canarias ,928 21 14 17 ,928 21 14 22 ,mixto3.guia@justiciaencanarias.org ,FERNANDEZ HUERTA  ELENA
Juzgado de Primera Instancia nº 1 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 42 97 84 ,928 11 76 05 ,instancia1.tel@justiciaencanarias.org ,LOPEZ-TOMASETY FERNANDEZ  MARIA DEL CARMEN
Juzgado de Primera Instancia nº 2 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 42 97 87 ,928 11 76 44 ,instancia2.tel@justiciaencanarias.org ,ANORO CARMONA  NURIA
Juzgado de Primera Instancia nº 3 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 42 97 72 ,928 11 75 92 ,instancia3.tel@justiciaencanarias.org ,GARCIA CASTELLANO  ARMANDO JOSE
Juzgado de Primera Instancia nº 4 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 42 97 88 ,928 11 80 34 ,instancia4.tel@justiciaencanarias.org ,VILAN SANTOS  MARIA DE LOS MILAGROS
Juzgado de Primera Instancia nº 5 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 42 97 89 ,928 11 77 86 ,instancia5.tel@justiciaencanarias.org ,MARTIN ALVAREZ  OLGA
Juzgado de Primera Instancia nº 6 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 89 94 80 ,928 89 94 94 ,instancia6.tel@justiciaencanarias.org ,HERMO COSTOYA  JUAN MANUEL
Juzgado de Instrucción nº 1 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 42 97 90 ,928 11 78 02 ,instruc1.tel@justiciaencanarias.org ,LOPEZ VAZQUEZ  MARIA CECILIA
Juzgado de Instrucción nº 2 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 42 97 91 ,928 11 78 23 ,instruc2.tel@justiciaencanarias.org ,SBERT PINILLA  CRISTINA
Juzgado de Instrucción nº 3 ,C/ Párroco Hernández Benítez  10 ,35200 ,Telde ,Las Palmas ,Canarias ,928 42 97 81 ,928 11 80 30 ,instruc3.tel@justiciaencanarias.org ,NAVARRO HERNANDEZ  ALEJANDRO
Juzgado de Primera Instancia e Instrucción nº 1 ,Pza. Marqueses de Astorga  s/n ,24700 ,Astorga ,León ,Castilla y León ,987 61 50 63  987 61 73 09 ,987 60 24 12 ,mixto1.astorga@justicia.es ,LORA NUÑEZ  FRANCISCO JOSE
Juzgado de Primera Instancia e Instrucción nº 2 ,Pza. Marqueses de Astorga  s/n ,24700 ,Astorga ,León ,Castilla y León ,987 61 52 19  987 61 71 35 ,987 61 62 89 ,mixto2.astorga@justicia.es ,VALVERDE HERNANDEZ  MIRIAM
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ General Benavides  27 ,24750 ,Bañeza (La) ,León ,Castilla y León ,987 64 04 64  987 64 06 05 ,987 64 38 03 ,mixto1.labaneza@justicia.es ,ARIAS MARTINEZ  RAQUEL
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ General Benavides  27 ,24750 ,Bañeza (La) ,León ,Castilla y León ,987 64 44 03  987 64 06 77 ,987 64 45 30 ,mixto2.labaneza@justicia.es ,GARCIA GARCIA  CARLOS
Juzgado de Primera Instancia e Instrucción Único ,C/ Doctor Rivas  2 ,24800 ,Cistierna ,León ,Castilla y León ,987 70 02 73  987 70 05 02 ,987 70 00 04 ,mixto1.cistierna@justicia.es ,GOMEZ CRESPO  ANDREA
Audiencia Provincial Civil nº 1 ,C/ El Cid  20 ,24003 ,León ,León ,Castilla y León ,987 23 31 35 ,987 23 33 52 ,audiencia.s1.leon@justicia.es ,GONZALEZ CARVAJAL  ANGEL
Audiencia Provincial Civil nº 2 ,C/ El Cid  20 ,24003 ,León ,León ,Castilla y León ,987 23 31 59 ,987 23 26 57 ,audiencia.s2.leon@justicia.es ,ALVAREZ RODRIGUEZ  ALBERTO FRANCISCO
Audiencia Provincial Penal nº 3 ,C/ El Cid  20 ,24003 ,León ,León ,Castilla y León ,987 23 00 06 ,987 23 00 76 ,audiencia.s3.leon@justicia.es ,AZA BARAZON  ALVARO MIGUEL DE
Audiencia Provincial Presidencia ,C/ El Cid  20 ,24003 ,León ,León ,Castilla y León ,987 23 31 35 ,987 23 33 52 ,audiencia.s1.leon@justicia.es ,SER LOPEZ  ANA DEL
Juzgado de Primera Instancia nº 1 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 03  987 25 06 13 ,987 89 52 08 ,instancia1.leon@justicia.es ,PUERTO AGUADO  EVA MARIA
Juzgado de Primera Instancia nº 2 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 89  987 29 66 11 ,987 89 51 88 ,instancia2.leon@justicia.es ,MARTINEZ CANTON  SILVIA
Juzgado de Primera Instancia nº 3 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 09  987 29 66 13 ,987 89 52 09 ,instancia3.leon@justicia.es ,SOTO GUITIAN  JOSE MANUEL
Juzgado de Primera Instancia nº 4 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 12  987 29 66 15 ,987 89 52 10 ,instancia4.leon@justicia.es ,SANTOS GONZALEZ  MARIA DEL CARMEN
Juzgado de Primera Instancia nº 5 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 15  987 29 66 17 ,987 89 52 11 ,instancia5.leon@justicia.es ,FONTAN SILVA  JOSE IGNACIO
Juzgado de Primera Instancia nº 6 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 18  987 29 66 35 ,987 89 52 12 ,instancia6.leon@justicia.es ,ORDOÑEZ PICON  MARIA VICTORIA
Juzgado de Primera Instancia nº 7 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 21  987 29 66 37 ,987 89 52 13 ,instancia7.leon@justicia.es , 
Juzgado de Primera Instancia nº 8 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 22 77 54  987 29 66 75 ,987 22 24 98 ,instancia8.leon@justicia.es ,ARRAIZA JIMENEZ  PABLO
Juzgado de Primera Instancia nº 9 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 50 76  987 29 66 41 ,987 87 65 26 ,instancia9.leon@justicia.es ,ORTEGA DE CASTRO  LUIS ANGEL
Juzgado de Primera Instancia nº 10 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 52 60  987 29 66 40 ,987 20 81 40 ,instancia10.leon@justicia.es ,GONZALEZ PEREZ  SONIA
Juzgado de Primera Instancia nº 11 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 29 66 23  987 29 66 24 ,987 29 66 25 ,instancia11.leon@justicia.es ,RAMIREZ ENCINAS  MONICA
Juzgado de Instrucción nº 1 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 24  987 29 66 43 ,987 89 52 01 ,instruccion1.leon@justicia.es ,MORANO SECO  FERNANDO
Juzgado de Instrucción nº 2 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 06  987 29 66 47 ,987 89 52 02 ,instruccion2.leon@justicia.es ,RODRIGUEZ GOMEZ  SUSANA
Juzgado de Instrucción nº 3 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 27  987 29 66 51 ,987 89 52 03 ,instruccion3.leon@justicia.es ,SERRANO DIEZ  BEATRIZ
Juzgado de Instrucción nº 4 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 30  987 29 66 55 ,987 89 52 04 ,instruccion4.leon@justicia.es ,PEÑA VALVERDE  MARIA TERESA DE LA
Juzgado de Instrucción nº 5 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 52 47  987 29 66 61 ,987 89 52 48 ,instruccion5.leon@justicia.es ,GONZALEZ BOÑAR  ROCIO
Juzgado de lo Social nº 1 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 33  987 29 66 63 ,987 29 68 35 ,social1.leon@justicia.es ,LAMO RUBIO  JAIME DE
Juzgado de lo Social nº 2 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 36  987 29 66 65 ,987 89 52 32 ,social2.leon@justicia.es ,SORANDO PINILLA  ANGEL
Juzgado de lo Social nº 3 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 39  987 29 66 67 ,987 89 52 00 ,social3.leon@justicia.es ,ANTONA SUENA  HELENA
Juzgado de lo Social nº 4 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 42 ,987 29 68 35 ,social4.leon@justicia.es ,VILLARREAL NARGANES  SARA
Juzgado de lo Contencioso-Administrativo nº 1 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 84  987 29 66 70 ,987 20 92 12 ,contencioso1.leon@justicia.es ,FIUZA PEREZ  MARTA
Juzgado de lo Contencioso-Administrativo nº 2 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 52 27  987 29 66 71 ,987 89 52 30 ,contencioso2.leon@justicia.es ,CUENA BOY  MARIA TERESA
Juzgado de lo Contencioso-Administrativo nº 3 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 52 24  987 29 66 73 ,987 89 52 55 ,contencioso3.leon@justicia.es ,PEREZ CONESA  ALFONSO
Juzgado de lo Penal nº 1 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 45  987 29 66 77 ,987 26 22 18 ,penal1.leon@justicia.es ,PIE PEREZ  CRISTINA DEL
Juzgado de lo Penal nº 2 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 48  987 29 66 79 ,987 89 52 14 ,penal2.leon@justicia.es ,ALVAREZ RODRIGUEZ  MARIA ARGENTINA
Juzgado de Vigilancia Penitenciaria nº 3 ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 79  987 29 66 81 ,987 89 51 76 ,vigilancia1.leon@justicia.es ,SANZ LLORENTE  FERNANDO JAVIER
Juzgado de Menores Único ,Avda. del Ingeniero Sáenz de Miera  6 ,24009 ,León ,León ,Castilla y León ,987 89 51 52  987 29 66 85 ,987 89 52 33 ,menores1.leon@justicia.es ,GARCIA ORDAS  ROSA MARIA
Juzgado de Primera Instancia nº 1 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 05  987 45 12 04 ,987 41 81 75 ,mixto1.ponferrada@justicia.es ,MARCOS VIAN  RODRIGO
Juzgado de Primera Instancia nº 2 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 10  987 45 12 09 ,987 42 80 83 ,mixto2.ponferrada@justicia.es ,NAVES SEIJO  PATRICIA
Juzgado de Primera Instancia nº 3 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 42  987 45 12 15 ,987 45 12 14 ,mixto3.ponferrada@justicia.es ,MENDEZ TOJO  RAMON
Juzgado de Primera Instancia nº 4 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 61  987 45 13 34 ,987 42 90 50 ,mixto6.ponferrada@justicia.es ,FRANCISCO BLANCO  LETICIA
Juzgado de Primera Instancia nº 5 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 68  987 45 12 78 ,987 45 12 67 ,mixto7.ponferrada@justicia.es ,LOURIDO RICO  ANA MARIA
Juzgado de Instrucción nº 1 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 20  987 45 12 19 ,987 45 12 18 ,mixto4.ponferrada@justicia.es ,SIERRA RODRIGUEZ  MARIA ELENA
Juzgado de Instrucción nº 2 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 25 12 24  987 45 12 23 ,987 41 25 63 ,mixto5.ponferrada@justicia.es , 
Juzgado de Instrucción nº 3 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 87  987 45 12 88 ,987 45 12 89 ,mixto8.ponferrada@justicia.es ,LARA CIFUENTES  MARIA DEL PILAR DE
Juzgado de lo Social nº 1 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 31  987 45 13 51 ,987 45 12 30 ,social1.ponferrada@justicia.es ,NIETO DOCIO  RAQUEL
Juzgado de lo Social nº 2 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 37  987 45 13 57 ,987 45 12 36 ,social2.ponferrada@justicia.es ,MARTIN MARTIN  HUMBERTO
Juzgado de lo Penal nº 1 ,Avda. de Huertas del Sacramento  s/n ,24400 ,Ponferrada ,León ,Castilla y León ,987 45 12 53  987 45 12 52 ,987 45 12 55 ,penal1.ponferrada@justicia.es ,HERNAIZ GOMEZ  OSCAR
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Alhóndiga  25 ,24320 ,Sahagún ,León ,Castilla y León ,987 78 00 02  987 78 19 44 ,987 78 20 61 ,mixto1.sahagun@justicia.es ,BASTANCHURY OLIVA  MONICA
Juzgado de Primera Instancia e Instrucción Único ,Pza. Europa  s/n ,24100 ,Villablino ,León ,Castilla y León ,987 47 00 56  987 48 11 41 ,987 47 00 20 ,mixto1.villablino@justicia.es ,CORES PAREDES  ANA
Juzgado de Primera Instancia e Instrucción nº 1 ,Carrer Francesc Borràs  3-7 ,25600 ,Balaguer ,Lleida ,Cataluña ,973 67 90 20  973 67 90 20 ,973 30 68 64 ,mixte1.balaguer@xij.gencat.cat ,GONZALEZ DEFEZ  MARIA AGUSTINA
Juzgado de Primera Instancia e Instrucción nº 2 ,Carrer Francesc Borràs  3-7 ,25600 ,Balaguer ,Lleida ,Cataluña ,973 67 90 20  973 67 90 20 ,973 30 68 65 ,mixte2.balaguer@xij.gencat.cat ,GIRIBET SERVETO  AUREMBIAIX
Juzgado de Primera Instancia e Instrucción nº 3 ,Carrer Francesc Borràs  3-7 ,25600 ,Balaguer ,Lleida ,Cataluña ,973 67 90 20  973 67 90 20 ,973 30 68 66 ,mixte3.balaguer@xij.gencat.cat ,CASTELLS INGLA  HELENA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Estudivell  15 ,25200 ,Cervera ,Lleida ,Cataluña ,973 03 60 07 ,973 03 60 11 ,mixte1.cervera@xij.gencat.cat ,ESQUEN BETANCOURT  THAIS
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Estudivell  15 ,25200 ,Cervera ,Lleida ,Cataluña ,973 03 60 00 ,973 03 60 05 ,mixte2.cervera@xij.gencat.cat ,MOREA COLMENARES  AMAYA
Audiencia Provincial Penal nº 1 ,C/ Canyeret  1 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 58 26 ,973 70 02 83 ,aps1.lleida@xij.gencat.cat ,ANDRES LLOVERA  MARIA ANGELES
Audiencia Provincial Civil nº 2 ,C/ Canyeret  1 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 58 20 ,973 70 02 81 ,aps2.lleida@xij.gencat.cat ,BERNAT ALVAREZ  MARIA DEL CARMEN
Audiencia Provincial Presidencia ,C/ Canyeret  1 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 58 24 ,973 70 02 82 ,Más información ,JIMENEZ MARQUEZ  MARIA LUCIA
Juzgado de Primera Instancia nº 1 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 72 ,973 70 01 70 ,instancia1.lleida@xij.gencat.cat ,TELLO REQUENA  LETICIA
Juzgado de Primera Instancia nº 2 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 61 ,973 70 01 98 ,instancia2.lleida@xij.gencat.cat ,VACAS LARRAZ  JUAN
Juzgado de Primera Instancia nº 3 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 81 ,973 70 02 61 ,instancia3.lleida@xij.gencat.cat ,ANGUITA MATA  MARIA DEL PILAR
Juzgado de Primera Instancia nº 4 ,C/ Canyeret  8 ,25007 ,Lleida ,Lleida ,Cataluña ,973 22 91 00 ,973 22 91 18 ,instancia4.lleida@xij.gencat.cat ,GONZALVEZ ARANJUELO  LORENA MARIA
Juzgado de Primera Instancia nº 5 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 02 20 ,973 70 01 57 ,instancia5.lleida@xij.gencat.cat ,CAÑAS ORDAS  JAVIER
Juzgado de Primera Instancia nº 6 ,C/ Canyeret  1 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 26 ,973 70 01 35 ,instancia6-mercantil.lleida@xij.gencat.cat ,ENRECH LARREA  EDUARDO MARIA
Juzgado de Primera Instancia nº 7 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 02 43 ,973 70 02 44 ,instancia7.lleida@xij.gencat.cat ,GIMENO FERNANDEZ  PEDRO SANTIAGO
Juzgado de Primera Instancia nº 8 ,C/ Canyeret  1 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 02 90 ,973 70 02 93 ,instancia8.lleida@xij.gencat.cat ,MONRABA EGEA  MARTA
Juzgado de Primera Instancia nº 9 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 34 90 65 ,97330 68 71 ,instancia9.lleida@xij.gencat.cat ,SOLER SENISE  SILVIA MARIA
Juzgado de Instrucción nº 1 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 02 21 ,973 70 02 62 ,instruccio1.lleida@xij.gencat.cat ,LORENZO MAÑAS  DIANA
Juzgado de Instrucción nº 2 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 75 ,973 70 02 56 ,instruccio2.lleida@xij.gencat.cat ,ANGULO GUINDA  CRISTINA MARIA
Juzgado de Instrucción nº 3 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 02 27 ,973 70 01 66 ,instruccio3.lleida@xij.gencat.cat ,OVIEDO MALO  NADIA MARIA
Juzgado de Instrucción nº 4 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 03 05 05 ,973 70 01 25 ,instruccio4.lleida@xij.gencat.cat ,BLASCO PEREZ  NADIA
Juzgado de lo Social nº 1 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 85 ,973 70 02 64 ,social1.lleida@xij.gencat.cat ,SORIANO MARTIN  DIANA MARIA
Juzgado de lo Social nº 2 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 03 00 27 ,973 70 02 37 ,social2.lleida@xij.gencat.cat ,DOMENECH TUDELA  ROSA MARIA
Juzgado de lo Contencioso-Administrativo nº 1 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 33 ,973 70 02 63 ,contencios1.lleida@xij.gencat.cat ,CERZOCIMO TORRES  JUDIT
Juzgado de Violencia sobre la Mujer nº 1 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 03 00 85 ,973 70 01 90 ,vido1.lleida@xij.gencat.cat ,ALONSO BENITO  CARLOTA
Juzgado de lo Penal nº 1 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 40 ,973 70 01 43 ,penal1.lleida@xij.gencat.cat ,CUCHI DENIA  JAVIER MANUEL
Juzgado de lo Penal nº 2 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 47 ,973 70 02 67 ,penal2.lleida@xij.gencat.cat ,ECHEVERRIA ALBACAR  IGNACIO
Juzgado de lo Penal nº 3 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 73 ,973 24 24 02 ,penal3.lleida@xij.gencat.cat ,ARBONES FADULLA  JUDITH
Juzgado de Vigilancia Penitenciaria nº 3 ,C/ Clavell  15  baixos 3a ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 00 92 ,973 70 02 96 ,vigilancia.penitenciaria3.lleida@xij.gencat.cat ,FELEZ GONZALEZ  JOSE IGNACIO
Juzgado de Menores nº 1 ,C/ Canyeret  3-5 ,25007 ,Lleida ,Lleida ,Cataluña ,973 70 01 78 ,973 70 02 68 ,menors1.lleida@xij.gencat.cat ,GARCIA NAVASCUES  VICTOR MANUEL
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Tres Ponts  9. Pza. Jacint Verdaguer  1 ,25700 ,Seu d`Urgell (La) ,Lleida ,Cataluña ,973 03 81 80  973 03 65 00 ,973 03 81 81 ,mixte1.laseu@xij.gencat.cat ,MOLINS AURIA  JOSE
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Tres Ponts  9. Pza. Jacint Verdaguer  1 ,25700 ,Seu d`Urgell (La) ,Lleida ,Cataluña ,973 03 81 82  973 03 65 00 ,973 03 81 83 ,mixte2.laseu@xij.gencat.cat ,PAVIA PAGE  MARIA JOSE
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Llobera  1 ,25280 ,Solsona ,Lleida ,Cataluña ,973 48 19 11  973 48 09 39 ,C/ Llobera  1 ,mixt1.solsona@xij.gencat.cat ,MORENO CHINCHILLA JIMENEZ  LAURA
Juzgado de Primera Instancia e Instrucción nº 1 ,Pg. Pare Manyanet  38 ,25620 ,Tremp ,Lleida ,Cataluña ,973 65 33 70 ,973 65 33 73 ,mixt1.tremp@xij.gencat.cat ,YAÑEZ OJEDA  MARIA ELENA
Juzgado de Primera Instancia e Instrucción Único ,Plaça Mossèn Joan Casseny  4 ,25530 ,Vielha e Mijaran ,Lleida ,Cataluña ,973 91 59 10 ,973 91 59 18 ,mixt1.vielha@xij.gencat.cat , 
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa Gómez Giménez  s/n ,27640 ,Becerreá ,Lugo ,Galicia ,982 88 93 52 ,982 36 11 45 ,mixto1.becerrea@xustiza.gal ,FONDEVILLA MARTINEZ  ALFREDO
Juzgado de Primera Instancia e Instrucción nº 1 ,Praza de Galicia  s/n ,27500 ,Chantada ,Lugo ,Galicia ,982 88 93 35  982 88 93 32 ,982 88 93 41 ,mixto1.chantada@xustiza.gal ,MARTIN URIA  TERESA
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa Penela  s/n ,27100 ,Fonsagrada (A) ,Lugo ,Galicia ,982 88 94 83 ,982 88 94 82 ,mixto1.afonsagrada@xustiza.gal ,MIGUEL FERRER  GUILLERMO DE
Audiencia Provincial Civil nº 1 ,Pza. Avilés  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 48 31  982 29 48 55 ,982 29 48 34 ,seccion1.ap.lugo@xustiza.gal ,ALVAREZ CASANOVA  BEATRIZ DE LAS NIEVES
Audiencia Provincial Penal nº 2 ,Pza. Avilés  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 48 40  982 29 48 37 ,982 29 48 43 ,seccion2.ap.lugo@xustiza.gal ,CLOOS FERNANDEZ  EDGAR AMANDO
Audiencia Provincial Presidencia ,Pza. Avilés  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 48 31  982 29 48 55 ,982 29 38 34 ,seccion1.ap.lugo@xustiza.gal , 
Juzgado de Primera Instancia nº 1 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 46 94  982 29 46 95 ,982 29 46 91 ,instancia1.lugo@xustiza.gal ,PRIETO BELLAS  ELADIO
Juzgado de Primera Instancia nº 2 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 47 00  982 29 47 03 ,982 29 46 99 ,instancia2.lugo@xustiza.gal , 
Juzgado de Primera Instancia nº 3 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 47 24  982 29 47 25 ,982 29 47 21 ,instancia3.lugo@xustiza.gal ,BERMUDEZ FERNANDEZ  PAULA MARIA
Juzgado de Primera Instancia nº 4 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 48 63  982 29 48 65 ,982 29 48 67 ,instancia4.lugo@xustiza.gal ,BARALLOBRE SANCHEZ  IVAN
Juzgado de Primera Instancia nº 5 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 88 95 08  982 88 95 09 ,982 88 95 12 ,instancia5.lugo@xustiza.gal ,DEAÑO RODRIGUEZ  JOSE LUIS
Juzgado de Primera Instancia nº 6 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 88 99 24  982 88 99 26 ,982 88 99 28 ,instancia6.lugo@xustiza.gal , 
Juzgado de Instrucción nº 1 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 47 09  982 29 47 10 ,982 29 47 07 ,reparto.lugo@xustiza.gal ,BRAGE CAMAZANO  JOAQUIN
Juzgado de Instrucción nº 2 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 47 15  982 29 47 16 ,982 29 47 41 ,reparto.lugo@xustiza.gal ,PIÑEIRO VILAS  SANDRA MARIA
Juzgado de Instrucción nº 3 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 47 35  982 29 47 36 ,982 29 47 34 ,reparto.lugo@xustiza.gal ,ORDUÑA ALONSO  SERGIO
Juzgado de lo Social nº 1 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 47 53  982 29 47 54 ,982 29 47 51 ,social1.lugo@xustiza.gal ,LOPEZ COTELO  JAVIER
Juzgado de lo Social nº 2 ,C/ Armando Durán  s/n ,27002 ,Lugo ,Lugo ,Galicia ,982 29 47 95  982 29 47 96 ,982 29 47 94 ,social2.lugo@xustiza.gal ,MARTINEZ VEGA  BEATRIZ
